子订单编号,下单时间,商品编码,商品标题,类目名称,购买数量,买家实付金额,退款状态,退款金额,订单当前状态,收货省份
TB20260910001,2026-09-08 15:14:08,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,北京市
TB20260910002,2026/09/08 15:32:38,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,交易成功,河南省
TB20260910003,2026/09/08 13:44:27,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,交易成功,广东省
TB20260910004,2026-09-08 16:51:02,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,河南省
TB20260910005,2026/09/08 14:45:04,SKU-008,优雅收腰风衣外套,外套,1, ¥559.00 ,无退款,0.00,交易成功,上海市
TB20260910006,2026/09/08 22:40:53,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,交易成功,广东省
TB20260910007,2026/09/08 15:10:29,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,浙江省
TB20260910008,2026/09/08 18:25:17,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,交易成功,湖北省
TB20260910009,2026/09/08 22:09:16,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,河南省
TB20260910010,2026/09/08 12:32:31,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910011,2026-09-08 10:24:24,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,广东省
TB20260910012,2026/09/08 16:49:41,SKU-005,羊毛混纺双面呢大衣,外套,1, ¥899.00 ,无退款,0.00,交易成功,山东省
TB20260910013,2026/09/08 11:55:40,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,福建省
TB20260910014,2026-09-08 08:38:20,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,上海市
TB20260910015,2026-09-08 10:05:46,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910016,2026-09-08 21:13:59,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,四川省
TB20260910017,2026/09/08 11:15:14,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),浙江省
TB20260910018,2026/09/08 15:04:57,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910019,2026-09-08 23:15:50,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,北京市
TB20260910020,2026-09-08 11:03:25,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,江苏省
TB20260910021,2026/09/08 15:55:59,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,福建省
TB20260910022,2026-09-08 15:10:26,SKU-007,高腰微喇牛仔裤,裤装,1, ¥189.00 ,无退款,0.00,交易成功,北京市
TB20260910023,2026-09-08 22:18:27,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,上海市
TB20260910024,2026/09/08 09:47:20,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,福建省
TB20260910025,2026/09/08 10:43:55,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910026,2026/09/08 18:59:16,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910027,2026-09-08 10:00:29,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,江苏省
TB20260910028,2026/09/08 15:23:18,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,福建省
TB20260910029,2026/09/08 17:59:42,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910030,2026-09-08 18:13:43,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910031,2026-09-08 09:00:21,SKU-004,宽松廓形针织开衫,毛织,1,219.00,仅退款(已到账),219.00,交易成功,福建省
TB20260910032,2026-09-08 12:34:02,SKU-001,法式复古碎花连衣裙,连衣裙,2, ¥578.00 ,无退款,0.00,交易成功,山东省
TB20260910033,2026/09/08 09:57:22,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,北京市
TB20260910034,2026-09-08 15:55:10,SKU-010,基础款莫代尔打底衫,内搭,1, ¥89.00 ,无退款,0.00,交易成功,四川省
TB20260910035,2026-09-08 15:17:10,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,湖北省
TB20260910036,2026-09-08 15:14:01,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,山东省
TB20260910037,2026-09-08 18:01:07,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,交易成功,河南省
TB20260910038,2026-09-08 18:27:38,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,交易成功,北京市
TB20260910039,2026/09/08 14:23:27,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910040,2026/09/08 18:25:44,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,江苏省
TB20260910041,2026/09/08 08:19:18,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,上海市
TB20260910042,2026/09/08 13:42:05,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,交易成功,上海市
TB20260910043,2026/09/08 14:09:01,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,交易成功,河南省
TB20260910044,2026/09/08 23:25:15,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,北京市
TB20260910045,2026/09/08 22:03:35,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910046,2026-09-08 22:39:52,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,湖北省
TB20260910047,2026-09-08 16:49:49,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,交易成功,山东省
TB20260910048,2026/09/08 10:08:09,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,北京市
TB20260910049,2026-09-08 09:13:53,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,河南省
TB20260910050,2026/09/08 19:19:48,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,交易成功,河南省
TB20260910051,2026/09/08 16:27:31,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,交易成功,湖北省
TB20260910052,2026-09-08 08:58:25,SKU-009,经典小香风编织外套,外套,1, ¥439.00 ,售后退款成功,439.00,交易成功,湖北省
TB20260910053,2026/09/08 18:13:29,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,山东省
TB20260910054,2026-09-08 09:22:14,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,上海市
TB20260910055,2026-09-08 15:08:30,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,江苏省
TB20260910056,2026/09/08 11:49:52,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,北京市
TB20260910057,2026-09-08 10:37:44,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,广东省
